,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
16515,CASK,ENSG00000147044.20,hsa:8573,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,5.3615,3.859877423992137
16516,GPR34,ENSG00000171659.13,hsa:2857,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.1962,1.3507573476961432
16517,GPR34,ENSG00000171659.13,hsa:2857,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,5.1962,1.3507573476961432
16518,GPR82,ENSG00000171657.5,hsa:27197,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3796,-2.4506731429349733
16519,GPR82,ENSG00000171657.5,hsa:27197,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.3796,-2.4506731429349733
16520,MAOA,ENSG00000189221.9,hsa:4128,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5053,3.926331459718267
16521,MAOA,ENSG00000189221.9,hsa:4128,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.5053,3.926331459718267
16522,MAOB,ENSG00000069535.13,hsa:4129,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.3406,2.7335598484900525
16523,MAOB,ENSG00000069535.13,hsa:4129,1000,Genes and Proteins,Protein families: metabolism,Enzymes,7.3406,2.7335598484900525
16524,CHST7,ENSG00000147119.3,hsa:56548,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9469,1.1554757352113694
16525,CHST7,ENSG00000147119.3,hsa:56548,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.9469,1.1554757352113694
16526,CHST7,ENSG00000147119.3,hsa:56548,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,2.9469,1.1554757352113694
16527,SLC9A7,ENSG00000065923.9,hsa:84679,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3536,1.722725973791178
16528,SLC9A7,ENSG00000065923.9,hsa:84679,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.3536,1.722725973791178
16529,RGN,ENSG00000130988.12,hsa:9104,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9264,1.1953103539664303
16530,RGN,ENSG00000130988.12,hsa:9104,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.9264,1.1953103539664303
16531,RGN,ENSG00000130988.12,hsa:9104,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.9264,1.1953103539664303
16532,USP11,ENSG00000102226.9,hsa:8237,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.9203,5.323245730770501
16533,USP11,ENSG00000102226.9,hsa:8237,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,6.9203,5.323245730770501
16534,USP11,ENSG00000102226.9,hsa:8237,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.9203,5.323245730770501
16535,USP11,ENSG00000102226.9,hsa:8237,1002,Genes and Proteins,Protein families: metabolism,Peptidases,6.9203,5.323245730770501
16536,ZNF157,ENSG00000147117.7,hsa:7712,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.6394,-4.59420673165527
16537,ZNF157,ENSG00000147117.7,hsa:7712,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.6394,-4.59420673165527
16538,SYN1,ENSG00000008056.12,hsa:6853,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9421,-0.4451882487879348
16539,SYN1,ENSG00000008056.12,hsa:6853,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.9421,-0.4451882487879348
16540,TIMP1,ENSG00000102265.11,hsa:7076,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),9.3613,8.538452143174691
16541,CFP,ENSG00000126759.12,hsa:5199,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1345,1.0702612157028317
16542,ZNF630,ENSG00000221994.10,hsa:57232,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9115,0.31064015939472633
16543,ZNF630,ENSG00000221994.10,hsa:57232,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.9115,0.31064015939472633
16544,SPACA5,ENSG00000171489.10,hsa:389852,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458,-6.1953806614145535
16545,SPACA5,ENSG00000171489.10,hsa:389852,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.458,-6.1953806614145535
16546,SLC38A5,ENSG00000017483.14,hsa:92745,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4397,3.244788454286735
16547,SLC38A5,ENSG00000017483.14,hsa:92745,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.4397,3.244788454286735
16548,EBP,ENSG00000147155.10,hsa:10682,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2138,6.059740707255893
16549,EBP,ENSG00000147155.10,hsa:10682,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.2138,6.059740707255893
16550,WAS,ENSG00000015285.10,hsa:7454,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6277,2.6030507135791856
16551,WAS,ENSG00000015285.10,hsa:7454,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.6277,2.6030507135791856
16552,WAS,ENSG00000015285.10,hsa:7454,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,4.6277,2.6030507135791856
16553,GATA1,ENSG00000102145.13,hsa:2623,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.299470050203436
16554,GATA1,ENSG00000102145.13,hsa:2623,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-5.0116,-5.299470050203436
16555,ERAS,ENSG00000187682.1,hsa:3266,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.685,-5.052254593129912
16556,ERAS,ENSG00000187682.1,hsa:3266,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,-1.685,-5.052254593129912
16557,PIM2,ENSG00000102096.9,hsa:11040,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2405,3.745437207780271
16558,PIM2,ENSG00000102096.9,hsa:11040,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.2405,3.745437207780271
16559,PIM2,ENSG00000102096.9,hsa:11040,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.2405,3.745437207780271
16560,KCND1,ENSG00000102057.9,hsa:3750,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2662,-0.09413792327707536
16561,KCND1,ENSG00000102057.9,hsa:3750,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.2662,-0.09413792327707536
16562,PRAF2,ENSG00000243279.3,hsa:11230,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.342,4.757103592007209
16563,PRAF2,ENSG00000243279.3,hsa:11230,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,7.342,4.757103592007209
16564,PRAF2,ENSG00000243279.3,hsa:11230,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,7.342,4.757103592007209
16565,PRICKLE3,ENSG00000012211.12,hsa:4007,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.595,2.6002052364651216
16566,CACNA1F,ENSG00000102001.12,hsa:778,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-3.49612711295649
16567,CACNA1F,ENSG00000102001.12,hsa:778,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-2.2447,-3.49612711295649
16568,FOXP3,ENSG00000049768.14,hsa:50943,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5522,0.2772033796645074
16569,FOXP3,ENSG00000049768.14,hsa:50943,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.5522,0.2772033796645074
16570,PPP1R3F,ENSG00000049769.12,hsa:89801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9186,1.6807280775731002
16571,PPP1R3F,ENSG00000049769.12,hsa:89801,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.9186,1.6807280775731002
16572,CLCN5,ENSG00000171365.15,hsa:1184,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0183,1.1840431437787409
16573,CLCN5,ENSG00000171365.15,hsa:1184,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,2.0183,1.1840431437787409
16574,CCNB3,ENSG00000147082.17,hsa:85417,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.3752,-2.022472614312281
16575,CCNB3,ENSG00000147082.17,hsa:85417,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-0.3752,-2.022472614312281
16576,CCNB3,ENSG00000147082.17,hsa:85417,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,-0.3752,-2.022472614312281
16577,SHROOM4,ENSG00000158352.15,hsa:57477,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3623,0.5539982030650806
16578,SHROOM4,ENSG00000158352.15,hsa:57477,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,1.3623,0.5539982030650806
16579,NUDT10,ENSG00000122824.10,hsa:170685,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.186,-1.60937105915962
16580,NUDT10,ENSG00000122824.10,hsa:170685,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.186,-1.60937105915962
16581,NUDT11,ENSG00000196368.4,hsa:55190,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1812,-0.47108653795083133
16582,NUDT11,ENSG00000196368.4,hsa:55190,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.1812,-0.47108653795083133
16583,GSPT2,ENSG00000189369.8,hsa:23708,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7138,1.7471028984401245
16584,GSPT2,ENSG00000189369.8,hsa:23708,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,3.7138,1.7471028984401245
16585,GSPT2,ENSG00000189369.8,hsa:23708,3012,Genes and Proteins,Protein families: genetic information processing,Translation factors,3.7138,1.7471028984401245
16586,MAGED1,ENSG00000179222.17,hsa:9500,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.0266,6.592362437866284
16587,GPR173,ENSG00000184194.5,hsa:54328,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0331,-0.45795643966319116
16588,GPR173,ENSG00000184194.5,hsa:54328,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,4.0331,-0.45795643966319116
16589,TSPYL2,ENSG00000184205.14,hsa:64061,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.5617,3.8359097222758343
16590,TSPYL2,ENSG00000184205.14,hsa:64061,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.5617,3.8359097222758343
16591,SMC1A,ENSG00000072501.17,hsa:8243,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.287,4.073680740164624
16592,SMC1A,ENSG00000072501.17,hsa:8243,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.287,4.073680740164624
16593,WNK3,ENSG00000196632.10,hsa:65267,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2516,-2.0743952401396992
16594,WNK3,ENSG00000196632.10,hsa:65267,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.2516,-2.0743952401396992
16595,WNK3,ENSG00000196632.10,hsa:65267,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,1.2516,-2.0743952401396992
16596,WNK3,ENSG00000196632.10,hsa:65267,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.2516,-2.0743952401396992
16597,FGD1,ENSG00000102302.7,hsa:2245,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2692,1.9021559216318507
16598,GNL3L,ENSG00000130119.15,hsa:54552,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7205,2.2235399966817426
16599,GNL3L,ENSG00000130119.15,hsa:54552,3009,Genes and Proteins,Protein families: genetic information processing,Ribosome biogenesis,2.7205,2.2235399966817426
16600,PFKFB1,ENSG00000158571.10,hsa:5207,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.4699,-2.5950294384836923
16601,PFKFB1,ENSG00000158571.10,hsa:5207,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.4699,-2.5950294384836923
16602,ALAS2,ENSG00000158578.18,hsa:212,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.2142,-4.474561098192373
16603,ALAS2,ENSG00000158578.18,hsa:212,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.2142,-4.474561098192373
16604,ALAS2,ENSG00000158578.18,hsa:212,1007,Genes and Proteins,Protein families: metabolism,Amino acid related enzymes,-1.2142,-4.474561098192373
16605,USP51,ENSG00000247746.4,hsa:158880,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.8726,-0.09355975232850534
16606,USP51,ENSG00000247746.4,hsa:158880,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,0.8726,-0.09355975232850534
16607,USP51,ENSG00000247746.4,hsa:158880,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.8726,-0.09355975232850534
16608,USP51,ENSG00000247746.4,hsa:158880,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.8726,-0.09355975232850534
16609,USP51,ENSG00000247746.4,hsa:158880,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.8726,-0.09355975232850534
16610,USP51,ENSG00000247746.4,hsa:158880,3021,Genes and Proteins,Protein families: genetic information processing,Transcription machinery,0.8726,-0.09355975232850534
16611,RRAGB,ENSG00000083750.12,hsa:10325,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3965,3.445612084325654
16612,KLF8,ENSG00000102349.14,hsa:11279,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.8164,0.49109831988095043
16613,KLF8,ENSG00000102349.14,hsa:11279,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.8164,0.49109831988095043
16614,FAAH2,ENSG00000165591.6,hsa:158584,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.7834,2.083243780395824
16615,FAAH2,ENSG00000165591.6,hsa:158584,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.7834,2.083243780395824
16616,ASB12,ENSG00000198881.9,hsa:142689,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-3.3041362941208026
16617,ASB12,ENSG00000198881.9,hsa:142689,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,-2.3884,-3.3041362941208026
16618,MTMR8,ENSG00000102043.15,hsa:55613,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1811,-1.197854478286753
16619,MTMR8,ENSG00000102043.15,hsa:55613,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.1811,-1.197854478286753
16620,MTMR8,ENSG00000102043.15,hsa:55613,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-1.1811,-1.197854478286753
16621,ZC3H12B,ENSG00000102053.12,hsa:340554,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2394,-1.7542923019137722
16622,ZC3H12B,ENSG00000102053.12,hsa:340554,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.2394,-1.7542923019137722
16623,ZC3H12B,ENSG00000102053.12,hsa:340554,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,1.2394,-1.7542923019137722
16624,MSN,ENSG00000147065.16,hsa:4478,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.1434,6.764304662728676
16625,MSN,ENSG00000147065.16,hsa:4478,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,8.1434,6.764304662728676
16626,MSN,ENSG00000147065.16,hsa:4478,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,8.1434,6.764304662728676
16627,VSIG4,ENSG00000155659.14,hsa:11326,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6284,3.1819516700566854
16628,HEPH,ENSG00000089472.16,hsa:9843,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6571,1.7119622745087963
16629,HEPH,ENSG00000089472.16,hsa:9843,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.6571,1.7119622745087963
16630,EDA2R,ENSG00000131080.14,hsa:60401,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2144,-0.37033279354861115
16631,EDA2R,ENSG00000131080.14,hsa:60401,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.2144,-0.37033279354861115
16632,AR,ENSG00000169083.15,hsa:367,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7786,-0.27538255013398877
16633,AR,ENSG00000169083.15,hsa:367,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.7786,-0.27538255013398877
16634,AR,ENSG00000169083.15,hsa:367,3310,Genes and Proteins,Protein families: signaling and cellular processes,Nuclear receptors,1.7786,-0.27538255013398877
16635,OPHN1,ENSG00000079482.12,hsa:4983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3549,0.6040557454429379
16636,OPHN1,ENSG00000079482.12,hsa:4983,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.3549,0.6040557454429379
16637,STARD8,ENSG00000130052.13,hsa:9754,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8602,1.0162548399676157
16638,STARD8,ENSG00000130052.13,hsa:9754,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.8602,1.0162548399676157
16639,EFNB1,ENSG00000090776.5,hsa:1947,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.5718,4.064099070729976
16640,EFNB1,ENSG00000090776.5,hsa:1947,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,3.5718,4.064099070729976
16641,EFNB1,ENSG00000090776.5,hsa:1947,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,3.5718,4.064099070729976
16642,EDA,ENSG00000158813.17,hsa:1896,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7832,0.23461486957728953
16643,EDA,ENSG00000158813.17,hsa:1896,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,0.7832,0.23461486957728953
16644,P2RY4,ENSG00000186912.6,hsa:5030,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.937815478256552
16645,P2RY4,ENSG00000186912.6,hsa:5030,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-5.0116,-5.937815478256552
16646,RAB41,ENSG00000147127.8,hsa:347517,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2875,-3.2419801785891518
16647,RAB41,ENSG00000147127.8,hsa:347517,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,1.2875,-3.2419801785891518
16648,KIF4A,ENSG00000090889.11,hsa:24137,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6805,1.4476994099698055
16649,KIF4A,ENSG00000090889.11,hsa:24137,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,2.6805,1.4476994099698055
16650,GDPD2,ENSG00000130055.13,hsa:54857,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2312,-3.3614648258387465
16651,GDPD2,ENSG00000130055.13,hsa:54857,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.2312,-3.3614648258387465
16652,DLG3,ENSG00000082458.11,hsa:1741,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8582,3.416045260288242
16653,DLG3,ENSG00000082458.11,hsa:1741,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.8582,3.416045260288242
16654,SLC7A3,ENSG00000165349.11,hsa:84889,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4865,-5.249688498107864
16655,SLC7A3,ENSG00000165349.11,hsa:84889,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.4865,-5.249688498107864
16656,FOXO4,ENSG00000184481.16,hsa:4303,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9032,2.950581746919239
16657,FOXO4,ENSG00000184481.16,hsa:4303,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.9032,2.950581746919239
16658,IL2RG,ENSG00000147168.12,hsa:3561,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.1798,3.8320689674883557
16659,IL2RG,ENSG00000147168.12,hsa:3561,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.1798,3.8320689674883557
16660,IL2RG,ENSG00000147168.12,hsa:3561,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.1798,3.8320689674883557
16661,NLGN3,ENSG00000196338.12,hsa:54413,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.2761,-0.6489336639902777
16662,NLGN3,ENSG00000196338.12,hsa:54413,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.2761,-0.6489336639902777
16663,GJB1,ENSG00000169562.9,hsa:2705,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1507,0.5119255787524082
16664,GJB1,ENSG00000169562.9,hsa:2705,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.1507,0.5119255787524082
16665,ITGB1BP2,ENSG00000147166.10,hsa:26548,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2498,-0.8862537968283194
16666,ITGB1BP2,ENSG00000147166.10,hsa:26548,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,-0.2498,-0.8862537968283194
16667,OGT,ENSG00000147162.13,hsa:8473,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.7033,4.681548244603414
16668,OGT,ENSG00000147162.13,hsa:8473,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.7033,4.681548244603414
16669,OGT,ENSG00000147162.13,hsa:8473,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.7033,4.681548244603414
16670,OGT,ENSG00000147162.13,hsa:8473,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,4.7033,4.681548244603414
16671,CXCR3,ENSG00000186810.7,hsa:2833,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,0.1537016746507374
16672,CXCR3,ENSG00000186810.7,hsa:2833,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-5.0116,0.1537016746507374
16673,CXCR3,ENSG00000186810.7,hsa:2833,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-5.0116,0.1537016746507374
16674,CXCR3,ENSG00000186810.7,hsa:2833,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-5.0116,0.1537016746507374
16675,ERCC6L,ENSG00000186871.6,hsa:54821,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.4521,-0.5615338377155011
16676,ERCC6L,ENSG00000186871.6,hsa:54821,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.4521,-0.5615338377155011
16677,ERCC6L,ENSG00000186871.6,hsa:54821,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-0.4521,-0.5615338377155011
16678,CITED1,ENSG00000125931.10,hsa:4435,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9227,0.314768440339664
16679,PHKA1,ENSG00000067177.14,hsa:5255,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5511,1.3940740197009618
16680,DMRTC1B,ENSG00000184911.14,hsa:728656,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9226,-2.1385024480221873
16681,DMRTC1B,ENSG00000184911.14,hsa:728656,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.9226,-2.1385024480221873
16682,DMRTC1,ENSG00000269502.5,hsa:63947,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8863,-5.161972473157781
16683,DMRTC1,ENSG00000269502.5,hsa:63947,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.8863,-5.161972473157781
16684,NAP1L2,ENSG00000186462.8,hsa:4674,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0145,-0.23605532821211916
16685,NAP1L2,ENSG00000186462.8,hsa:4674,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.0145,-0.23605532821211916
16686,SLC16A2,ENSG00000147100.9,hsa:6567,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.497,1.9895491702977888
16687,SLC16A2,ENSG00000147100.9,hsa:6567,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,5.497,1.9895491702977888
16688,ZDHHC15,ENSG00000102383.13,hsa:158866,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5313,-2.0222044905180825
16689,ZDHHC15,ENSG00000102383.13,hsa:158866,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.5313,-2.0222044905180825
16690,ZDHHC15,ENSG00000102383.13,hsa:158866,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5313,-2.0222044905180825
16691,ATRX,ENSG00000085224.20,hsa:546,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6508,3.453397783504243
16692,ATRX,ENSG00000085224.20,hsa:546,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.6508,3.453397783504243
16693,ATRX,ENSG00000085224.20,hsa:546,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.6508,3.453397783504243
16694,ATRX,ENSG00000085224.20,hsa:546,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.6508,3.453397783504243
16695,ATP7A,ENSG00000165240.17,hsa:538,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.5563,1.1372477079276695
16696,ATP7A,ENSG00000165240.17,hsa:538,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.5563,1.1372477079276695
16697,PGAM4,ENSG00000226784.2,hsa:441531,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.114,-3.8236421533851632
16698,PGAM4,ENSG00000226784.2,hsa:441531,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-2.114,-3.8236421533851632
16699,PGAM4,ENSG00000226784.2,hsa:441531,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-2.114,-3.8236421533851632
16700,PGAM4,ENSG00000226784.2,hsa:441531,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.114,-3.8236421533851632
16701,PGK1,ENSG00000102144.13,hsa:5230,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),9.2306,8.345448270001464
16702,PGK1,ENSG00000102144.13,hsa:5230,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,9.2306,8.345448270001464
16703,PGK1,ENSG00000102144.13,hsa:5230,1000,Genes and Proteins,Protein families: metabolism,Enzymes,9.2306,8.345448270001464
